QKEY,INTERVIEW_START_W69,INTERVIEW_END_W69,DEVICE_TYPE_W69,LANG_W69,FORM_W69,SATIS_W69,POL1DT_W69,POL1DTSTR_W69,FUTGEN_W69,FEEL_COUNTRY_ANGRY_W69,FEEL_COUNTRY_FEAR_W69,FEEL_COUNTRY_HOPEFUL_W69,FEEL_COUNTRY_PROUD_W69,PRZCMPGN_W69,VOTEGEN_W69,VOTEGEN3_W69,DTFORAGNST_W69,JBFORAGNST_W69,SATISPRESCAND_W69,ECON1_W69,ECON1B_W69,NATPROBS_a_W69,NATPROBS_b_W69,NATPROBS_c_W69,NATPROBS_d_W69,NATPROBS_e_W69,NATPROBS_f_W69,NATPROBS_g_W69,NATPROBS_h_W69,NATPROBS_i_W69,NATPROBS_j_W69,CENDONE_W69,CENPARTICMOD_W69,CENCOUNT_W69,CENKNOCK_W69,VTEARLYDOC_W69,COVID_DOC_W69,PRESGOODTRUMP_W69,PRESGOODBIDEN_W69,DTCONF_a_W69,DTCONF_b_W69,DTCONF_c_W69,DTCONF_d_W69,DTCONF_e_W69,DTCONF_f_W69,JBCONF_a_W69,JBCONF_b_W69,JBCONF_c_W69,JBCONF_d_W69,JBCONF_e_W69,JBCONF_f_W69,COVID_FUT_W69,C_SHOULDMASK_W69,C_MASKREACT_W69,COVID_COMFORT_a_W69,COVID_COMFORT_b_W69,COVID_COMFORT_c_W69,COVID_COMFORT_d_W69,COVID_COMFORT_e_W69,COVID_COMFORT_f_W69,COVID_COMFORT_g_W69,COVID_COMFORT_COMB_W69,COVID_INDIMPCT_W69,COVID_2ASSIST_W69,COVID_ECONPRIO_a_W69,COVID_ECONPRIO_b_W69,COVID_ECONPRIO_c_W69,COVID_ECONPRIO_d_W69,COVID_ECONPRIO_e_W69,COVID_LIABILITY_W69,COVID_INFECT_a_W69,COVID_INFECT_b_W69,TRUMPDESC_a_W69,TRUMPDESC_b_W69,TRUMPDESC_c_W69,TRUMPDESC_d_W69,TRUMPDESC_e_W69,TRUMPDESC_f_W69,BIDENDESC_a_W69,BIDENDESC_b_W69,BIDENDESC_c_W69,BIDENDESC_d_W69,BIDENDESC_e_W69,BIDENDESC_f_W69,TRUMPTAX_W69,DTTONE_W69,POLICE3F2_a_W69,POLICE3F2_b_W69,POLICE3F2_c_W69,POLICE3F2_d_W69,GOVNEEDY_W69,VTCHNGRULES_W69,EXCPWER_W69,POLICE_FUND_W69,POLICE_POLICIES_a_W69,POLICE_POLICIES_b_W69,POLICE_POLICIES_c_W69,POLICE_POLICIES_d_W69,POLICE_POLICIES_e_W69,POLICEQ_IMMUNITY_W69,SNSUSE_W69,SM10_a_W69,SM10_b_W69,SM10_c_W69,SM10_e_W69,SM11_a_W69,SM11_b_W69,SM11_c_W69,TECHREG1F1_W69,TECHREG1F2_W69,TECHREG2_W69,TECHPOW_W69,TC5_W69,TC6b_W69,SM7_W69,RACE_SERMON_W69,F_METRO,F_CREGION,F_CDIVISION,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_NATIVITY2,F_MARITAL,F_RELIG,F_BORN,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME,F_INCOME_RECODE,F_REG,F_IDEO,F_ACSWEB,F_VOLSUM,F_INC_TIER2,F_HISP_ORIGIN,F_YEARSINUS,F_PARTYSUMIDEO,POL1DT_W59,POL1DTSTR_W59,POL1DT_W64,POL1DTSTR_W64,DEMFIELD_W59,TRUMPDEM2020_W59,DEM1_CODE_FINAL_W59,COVID_DEATHS_CNTY_W69,BATTLE_NARROW_W69,WEIGHT_W69_CENSUS,WEIGHT_W59_W69,WEIGHT_W64_W69,WEIGHT_W69
166094,2020-6-18 15:3:49.000,2020-6-18 15:19:49.000,3,1,2,2,2,1,2,1,1,2,2,1,2, , ,1,1,4,2,1,1,1,1,1,1,2,1,1,1,1, ,3, ,2, ,5,1,4,4,4,4,4,4,1,1,1,1,1,1,2,1,3,1, , , ,1,2,2,1,1,1,1,1,1,1,4,2,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1, ,2,2,4,2,1,2,2,2,1,1,1,1,1,1,2, , , , , , , , ,1,3,1,1, ,1,3,1,1,2,4,99,99,99,99,99,99,1,1,99,99, ,99,2, ,2,99,99,99,99,1,1,99,6,1,9,2,1, , ,1,4,2,3,3,0.11897010366010885,0.11407286595071267, ,0.12140793460324523
166301,2020-6-17 11:3:24.000,2020-6-17 11:24:26.000,1,1,2,2,2,1,2,1,1,2,2,2,2, , ,2,3,4,2,1,1,2,1,2,1,4,1,1,2,1, ,2, ,2, ,5,2,4,4,4,4,4,4,2,1,2,1,2,2,2,1,1,1, , , ,2,2,2,2,1,1,1,1,2,1,4,2,1,1,4,4,4,4,4,4,2,2,1,1,2,1,1, ,4,4,4,2,1,2,2,5,2,1,1,1,1,2,1,1,2,1,1,1,1,1, ,1,3,1,1, ,3,1,1,1,2,3,1,2,3,2,1,1,1,1,3,9, ,6,2, ,2,8,1,1,5,1,2,2,6,1,4,2,1,2,1,1,4,22,3,1,0.6357094966711918,0.6351439790764845,0.6021301961593817,0.6577748020259275
167110,2020-6-17 13:40:3.000,2020-6-17 13:57:2.000,3,1,2,2,1,1,2,1,1,2,2,1,1, ,1, ,2,3,3,3,1,2,3,2,2,1,1,3,1,1, ,2, ,2, ,2,5,1,1,1,1,1,1,4,4,4,4,4,4,1,1,3,1, , , ,1,2,1,1,1,1,2,3,3,2,4,1,1,3,1,2,3,1,1,1,4,4,4,4,4,4,2, ,3,3,3,2,2,1,1,2,1,1,1,1,1,2,1,2,2,2,2,4,4,4, ,4,99,1,1, ,1,3,2,3,7,4,2,3,2,2,1,1,1,1,5,1,1,4,3,1,1,3,3,1,3,1,2,1,6,1,2,99, ,99, , ,1, ,1,4,0.9046947026318601,1.2812925977521472,1.3308948221902843,0.9728547889995899
167866,2020-6-17 12:27:21.000,2020-6-17 12:42:59.000,3,1,2,2,2,1,2,1,2,2,2,1,2, , ,1,2,4,3,1,1,2,1,3,1,3,3,1,1,1, ,2, ,2, ,5,2,4,4,4,4,4,4,1,1,1,1,1,1,2,1,1,1, , , ,2,2,1,2,1,2,1,3,1,2,2,1,1,1,4,4,4,4,3,4,1,1,1,1,2,1,1, ,4,4,4,3,1,2,1,4,1,1,1,1,1,2,2, , , , , , , , ,4,3,2,1, ,1,1,1,1,2,4,2,2,4,2,1,1,1,1,4,3,1,3,2, ,2,1,3,1,2,1,2,1,6,1,3,2,1,2,1,3,4,96,3,1,0.3461277678063682,0.35962180487691225,0.375014609990713,0.36834637720208396
168336,2020-6-17 16:35:2.000,2020-6-17 16:47:23.000,2,1,2,1,2,1,3,2,2,2,2,3,2, , ,2,3,3,1,1,1,2,2,3,2,3,1,1,3,1, ,1, ,2, ,5,3,4,4,4,4,2,4,2,2,2,2,2,3,2,2,3,1, , , ,1,2,1,1,2,1,2,2,2,1,3,2,2,2,4,4,4,4,2,4,2,2,3,2,2,2,1, ,4,3,4,2,1,2,2,4,2,2,2,1,1,2,1,2,2,2,2,4,4,4, ,2,3,1,1, ,3,1,1,4,8,2,1,1,6,2,1,1,1,1,1,12, ,6,3,2,2,8,1,1,3,1,2,3,6,1,3,2,1,2,1,3,4,22,3,2,0.9981627361439065,1.0481881345868915,1.0324737714620669,1.1009991285930159
169249,2020-6-17 11:8:48.000,2020-6-17 11:53:48.000,2,1,2,2,2,1,2,1,1,2,2,1,3,2, ,2,3,4,2,1,1,1,1,2,1,2,1,1,2,1, ,2, ,2, ,5,3,4,4,4,4,4,4,3,3,3,3,3,3,2,1,1,1, , , ,1,2,2,1,1,1,2,1,1,1,4,1,2,2,4,4,4,4,3,3,3,3,2,3,3,3,1, ,3,2,2,2,1,1,2,3,2,1,2,1,1,2,2, , , , , , , , ,2,3,1,1, ,2,1,1,4,8,4,2,2,3,2,1,1,1,1,3,2,2,5,2, ,2,5,2,1,3,1,2,1,6,1,3,2,1,1,1,2,4,6,2,3,0.3077335146612606,0.330385980536371,0.35589576550099394,0.3340131406467541
169864,2020-6-17 10:22:5.000,2020-6-17 10:43:23.000,2,1,2,1,1,1,3,2,2,1,1,1,1, ,1, ,1,2,3,3,3,2,2,2,3,2,2,3,2,1, ,2, ,1,2,2,5,2,1,1,2,1,2,4,4,4,4,4,4,2,3,3,1, , , ,1,2,1,1,3,2,4,4,2,3,4,1,4,2,1,2,3,2,1,1,4,3,3,3,4,3,2, ,1,2,1,2,2,1,2,3,3,3,3,1,1,1,1,2,2,1,1,3,3,3, ,4,4,1,1, ,1,3,1,4,9,4,1,1,5,2,1,1,1,1,1,1,2,4,1, ,1,8,1,1,2,1,2,3,6,1,1,1,1,1,1, ,1, ,2,1,0.7259671223837578,0.6272713320551427,0.617936009359436,0.7319212318308284
170940,2020-6-17 10:53:6.000,2020-6-17 11:56:47.000,2,1,2,2,1,1,99,1,1,2,2,1,1, ,1, ,1,2,1,3,2,1,1,1,2,1,2,3,1,1, ,2, ,1,2,1,5,1,1,1,1,1,1,4,4,4,4,4,4,1,3,3,1, , , ,1,1,1,1,3,2,4,4,2,3,3,1,2,3,1,1,1,2,1,1,4,4,3,4,4,4,2, ,2,3,2,2,2,1,2,3,4,1,2,3,1,99,1,2,2,1,1,3,3,3, ,4,4,1,3, ,1,1,2,3,6,4,2,2,4,2,1,1,1,1,1,1,1,2,3,1,1,8,1,3,1,1,2,3,6,1,1,1,99,1,1, ,1, ,1,5,0.7532365642943614,1.2291629782413234,1.3390412945083752,0.9494161714859737
171264,2020-6-19 14:37:20.000,2020-6-19 15:2:6.000,1,1,1,2,2,1,2,1,2,1,2,1, , , ,1,2,3,1,1,1,1,1,2,1,3,1,1,2,2,1,2,1,2, ,5,1,4,4,4,4,4,4,1,1,1,1,1,1,2,1,3,2,2,2,2, , , ,2,1,1,1,1,3,1,3,2,1,1,4,4,4,4,4,4,99,1,1,1,1,1, ,2,3,2,4,2,1,2,2,4,4,1,1,2,1,2,2, , , , , , , ,1, ,1,3,1,2, ,2,1,3,6,4,1,2,4,2,2,2,2,6,1,1,1,1,2, ,2,3,3, ,2,1,2,99,6,4,3,2,1,2,1,2, ,2,1,5,1.772900535146842,1.2430090433884269,1.269903779537667,1.1757643682763874
174032,2020-6-17 20:32:0.000,2020-6-17 20:50:27.000,1,1,2,2,1,1,2,1,1,2,2,1,1, ,1, ,1,4,1,2,1,1,1,1,2,1,1,3,1,1, ,2, ,2, ,1,5,1,1,1,2,2,2,4,4,4,4,4,4,1,1,1,2, , , ,2,2,2,2,1,1,2,4,2,1,1,1,1,1,2,2,3,2,2,3,4,4,4,4,4,4,2, ,3,3,3,3,2,1,1,1,4,4,3,2,1,1,1,2,2,2,2,4,4,4, ,2,2,1,1, ,1,3,1,3,7,3,1,3,2,2,1,1,1,1,1,1,2,6,1, ,1,8,1,1,2,1,2,3,6,1,1,1,1,1,1, ,2, ,3,5,1.022312844177128,1.1088760800109392,1.1472357380713374,1.1700350143584815
175363,2020-6-17 10:58:53.000,2020-6-17 11:13:55.000,1,1,1,1,1,2,3,2,2,2,2,1,1, ,2, ,4,2,2,3,2,1,1,3,1,1,2,4,2,1, ,2, ,1,2,3,5,2,1,1,3,2,4,2,1,1,2,2,3,1,1,1,1,1,2,2, , , ,1,2,2,4,1,2,2,1,1,2,3,3,4,4,4,1,2,4,4,4,4,4,4, ,2,4,3,4,3,2,1,2,4,1,1,1,1,1,2,99, , , , , , , ,4, ,4,1,2,1, ,1,2,1,2,3,1,1,5,2,4,4,1,1,1,1,1,5,4,1,1,8,1,1,2,2,1,3,6,1,1,1,1,1,1, ,1, ,1,1,0.32173958945436004,0.20154910453212316,0.24108184417060408,0.3644438240699309
176214,2020-6-17 15:57:29.000,2020-6-17 16:17:21.000,1,1,2,2,2,1,2,1,1,2,2,1,2, , ,2,2,2,3,2,1,2,1,1,1,3,2,1,2,1, ,2, ,2, ,5,3,4,4,4,4,4,4,1,1,1,1,2,3,2,1,3,1, , , ,2,2,1,2,2,99,2,1,2,1,3,1,3,2,4,4,4,4,4,4,3,2,3,2,2,1,1, ,2,3,3,2,1,2,2,3,1,1,2,2,2,2,2, , , , , , , , ,2,2,1,3, ,2,3,1,3,5,4,2,3,2,2,1,1,1,1,1,1,2,5,3,2,2,6,2,1,3,1,99,2,6,1,3,2,1,2,1,2,4,2,2,3,0.4948055462431792,0.6077805434641411,0.617574704025131,0.5346766967082539
176308,2020-6-17 15:3:23.000,2020-6-17 15:53:27.000,1,1,2,2,1,1,1,1,1,2,2,2,1, ,1, ,2,1,1,3,2,3,2,1,1,2,2,2,2,1, ,2, ,2, ,1,5,2,1,1,2,1,2,3,4,4,4,4,4,2,3,1,1, , , ,1,1,1,1,2,2,2,4,1,1,2,1,3,3,1,2,2,1,2,1,4,4,4,4,3,4,1, ,2,1,1,1,2,2,2,3,3,4,3,2,2,1,1,1,2,2,2,3,2,3, ,3,3,1,3, ,2,1,2,2,3,3,2,3,2,2,1,1,1,1,1,1,2,3,1, ,1,9,1,1,3,1,2,3,6,1,2,1,1,1,1, ,1, ,1,4,1.036318379991855,0.9459945678638447,0.9564516602837317,1.0057584715709382
176940,2020-6-17 18:2:50.000,2020-6-17 18:18:29.000,1,1,2,2,2,1,1,1,2,1,2,1,2, , ,2,2,3,1,2,2,1,2,1,2,1,3,1,3,1, ,2, ,2, ,5,2,4,4,4,4,4,4,2,1,1,2,2,1,2,1,1,1, , , ,2,2,2,2,1,1,2,2,2,1,4,1,1,2,4,4,4,4,4,4,2,1,1,1,1,1,1, ,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2, , , , , , , , ,2,2,1,1, ,2,3,1,3,5,4,2,3,2,2,1,1,1,1,1,1,2,6,4,2,2,99,99,1,3,1,2,2,6,1,3,2,1,2,1,2,5,30,3,3,0.762725515071538,0.9572138281942691,0.9645466165002471,0.8367922720464294
177572,2020-6-17 17:19:56.000,2020-6-17 17:30:1.000,3,1,1,2,2,1,2,1,1,2,2,1,2, , ,2,2,3,3,2,1,2,1,2,2,3,2,2,2,1, ,2, ,2, ,5,2,4,4,4,4,4,4,2,1,2,2,2,2,2,1,1,1,1,2,2, , , ,1,1,1,3,2,2,2,3,1,3,3,4,4,4,4,3,4,2,2,2,2,2,2, ,2,3,3,3,2,1,2,2,3,2,2,1,1,1,2,1,2,2,2,2,4,4,4,2, ,3,1,3,3, ,3,1,2,4,3,2,1,5,2,1,1,1,1,6,1,2,5,3,2,2,6,2,1,3,1,2,3,6,1,3,2,1,2,1,3,4,2,2,5,0.6890153975133843,0.692899831476835,0.6644177568221609,0.7095057880432336
178470,2020-6-19 5:13:39.000,2020-6-21 7:34:20.000,2,1,2,2,2,1,2,1,1,2,2,1,2, , ,1,1,4,3,1,1,1,1,2,1,4,1,1,1,1, ,3, ,2, ,5,1,4,4,4,4,4,4,1,1,1,1,1,1,2,1,1,1, , , ,2,2,2,2,1,1,1,1,1,1,2,2,4,2,4,4,4,4,4,4,1,1,1,1,1,1,1, ,4,3,4,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,2,3,4,3, ,1,2,3,1, ,2,1,1,3,6,3,2,2,4,2,2,2,1,1,5,1,1,2,2, ,2,2,3,1,5,1,2,1,6,1,4,2,1,2,1,2,4,2,3,5,0.6454989005933932,0.6047667407863602,0.6311395615733815,0.6612522968789547
179691,2020-6-17 15:53:10.000,2020-6-17 16:11:54.000,1,1,2,2,1,2,3,1,2,2,2,3,3,2, ,2,3,2,3,3,2,1,1,2,3,2,3,4,2,1, ,3, ,1,2,3,4,2,1,2,3,2,2,3,4,3,2,3,2,1,3,3,1, , , ,1,2,1,1,3,2,4,4,2,2,3,1,3,3,2,2,2,2,2,2,3,3,2,3,3,3,2, ,2,2,2,2,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,3,3,2, ,4,4,3,3, ,1,3,1,2,3,3,1,2,3,2,1,1,1,1,3,1,2,4,3,1,1,6,2,1,3,1,1,2,6,1,2,1,1,1,1, ,5, ,1,1,0.7953611689070622,0.7978199377942548,0.8076302527403444,0.8507123681380031
179979,2020-6-17 15:14:31.000,2020-6-17 15:42:37.000,1,1,2,2,1,1,1,1,1,1,2,2,1, ,1, ,1,3,1,2,2,1,1,1,2,1,2,3,1,1, ,2, ,1,2,1,5,2,1,1,2,1,2,4,4,4,4,4,4,1,3,3,1, , , ,1,2,1,1,1,2,2,4,2,1,2,1,4,3,1,2,2,1,1,1,4,4,3,4,4,3,2, ,1,2,2,2,1,1,2,2,3,2,4,3,2,1,1,1,2,2,2,2,2,1, ,4,4,1,1, ,1,3,2,2,4,4,2,3,2,2,1,1,1,1,5,1,2,6,1, ,1,3,3,1,2,1,2,1,6,1,1,1,1,1,1, ,1, ,1,5,1.160242817637421,1.2255846627918447,1.3162848258230107,1.1477318817309654
181573,2020-6-16 11:42:44.000,2020-6-16 12:58:43.000,2,1,2,1,1,1,3,1,2,1,2,2,1, ,1, ,2,3,1,3,2,2,3,3,2,3,2,3,2,1, ,2, ,2, ,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1, , , ,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,1,1,1,3,2,3,3,2,3,2, ,2,2,2,2,1,1,1,3,1,1,2,1,1,2,1,1,1,1,1,2,2,2, ,2,2,3,3, ,2,1,2,4,9,3,2,3,2,2,1,1,1,1,1,3,1,3,1, ,1,6,2,1,3,1,1,1,6,1,2,1,1,1,1, ,2, ,1,1,0.45542420029010894,0.42406542281087195,0.48278352693039184,0.47301321600243135
183145,2020-6-16 13:41:25.000,2020-6-16 13:57:42.000,2,1,1,2,1,2,2,1,1,1,2,1,1, ,1, ,3,3,1,2,1,2,2,2,2,2,2,2,1,1, ,2, ,2, ,2,4,2,1,1,2,1,2,3,4,3,3,2,3,1,1,1,1,1,2,2, , , ,1,1,2,3,4,1,1,1,1,3,3,1,2,3,2,1,1,2,2,3,2,3,2, ,3,3,2,3,2,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,3,3,2, ,2,1,3,1, ,3,1,3,5,4,2,2,3,2,1,1,1,1,5,12, ,6,3,1,1,5,2,1,3,1,2,2,6,1,2,1,2,1,2, ,2, ,3,1,0.931271391134465,0.9772741640436787,0.9822295583141701,0.9811310836539203
184045,2020-6-18 18:49:2.000,2020-6-18 19:20:6.000,1,1,2,2,2,1,2,1,2,2,2,1,2, , ,1,2,3,1,1,1,2,2,1,1,4,1,1,1,1, ,1, ,2, ,5,1,4,4,4,4,3,4,1,1,1,1,2,1,2,1,3,1, , , ,1,2,2,1,1,1,1,1,1,1,4,1,1,1,4,4,4,4,3,3,1,1,1,1,2,1,1, ,4,4,3,2,1,2,2,1,2,1,3,1,1,1,2, , , , , , , , ,4,2,1,2, ,3,2,1,3,5,4,2,1,5,2,1,1,1,1,1,2,2,6,2, ,2,6,2,1,5,2,2,2,6,1,4,2,1,2,1,2,4,2,1,3,0.4480485819837748,0.6542458902380902,0.6894801592842154,0.47539868300434973
185394,2020-6-17 11:2:53.000,2020-6-17 11:14:50.000,1,1,1,2,2,1,2,1,1,1,2,1,2, , ,2,3,3,2,1,1,2,1,3,1,4,1,1,2,1, ,3, ,2, ,5,3,4,4,4,4,4,4,2,2,2,2,2,2,2,1,3,2,1,2,2, , , ,1,1,1,1,1,3,1,2,2,1,1,4,4,4,4,2,4,2,2,2,2,3,2, ,2,4,3,4,2,1,2,2,4,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1, ,2,1,3,2, ,3,1,2,3,3,1,1,5,2,3,5,1,1,2,9, ,6,2, ,2,1,3,1,5,1,2,1,6,1,4,2,1,2,1,3,4,22,2,1,0.46034027350999,0.3413367243090247,0.3310661102909486,0.42832759516520774
185944,2020-6-18 8:1:46.000,2020-6-18 8:43:53.000,3,1,2,2,2,1,2,1,1,2,2,1,2, , ,1,1,4,3,1,1,1,1,1,1,4,1,2,2,1, ,1, ,1,1,5,1,4,4,4,4,4,4,1,1,1,1,1,1,2,1,3,1, , , ,1,2,1,1,2,1,3,1,2,1,2,2,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1, ,4,4,4,4,1,2,1,99,99,1,1,2,1,2,2, , , , , , , , ,99,99,3,99, ,99,1,1,3,5,3,2,3,2,2,5,4,1,6,1,6, ,4,2, ,2,6,2,1,4,1,2,2,6,4,4,2,1,2,1,2,4,2,2,3,0.9281175588222076,0.9281402301319029,0.8236035429653737,0.8724494002958482
186444,2020-6-18 14:17:11.000,2020-6-18 14:33:34.000,2,1,2,2,1,1,2,1,1,2,2,2,1, ,2, ,3,4,3,3,2,1,1,2,1,1,1,1,1,2,3,4,1,1,2,2,5,1,1,1,2,2,2,3,3,3,3,3,3,2,5,3,1, , , ,1,1,1,1,2,1,2,2,2,1,4,1,3,3,2,2,2,2,2,1,4,4,4,4,4,4,2, ,4,3,2,3,2,2,1,3,2,2,1,1,2,2,1,1,2,2,1,3,4,3, ,4,4,1,1, ,1,1,1,3,5,3,2,2,3,2,1,1,1,1,3,2,2,6,3,1,1,2,3,1,3,1,2,2,6,1,2,1,1,1,1, ,5, ,1,3,1.8126460086894236,0.9784373652888181,1.028460864568053,1.0731718188712172
186980,2020-6-20 9:28:4.000,2020-6-20 9:51:16.000,3,1,1,2,2,2,2,2,1,1,2,2,2, , ,1,3,4,2,2,3,1,1,3,2,3,1,1,2,1, ,1, ,2, ,4,3,2,4,3,3,4,4,2,3,2,2,3,3,1,3,3,1,1,1,1, , , ,1,1,1,1,1,1,1,1,1,3,4,3,3,4,4,2,4,2,2,2,2,1,2, ,2,4,4,4,2,1,2,99,4,4,1,1,1,1,2,2, , , , , , , ,4, ,4,1,1,3, ,1,1,4,9,3,2,1,5,2,1,1,1,1,6,2,2,4,4,1,1,1,3,1,3,2,1,1,6,1,2,2,2,2,1, ,5, ,2,1,0.3385441701487426,0.3470153673822447,0.34084409557530065,0.3728975331509115
187312,2020-6-17 10:54:29.000,2020-6-17 11:7:36.000,2,1,1,2,2,1,3,1,2,1,2,1,2, , ,2,3,3,1,1,1,1,1,3,1,3,2,1,2,1, ,3, ,2, ,5,2,4,4,2,4,4,4,2,1,2,1,2,1,1,1,1,1,1,1,2, , , ,1,1,1,2,4,3,1,4,1,1,3,4,4,4,4,3,4,1,1,2,1,3,1, ,2,4,4,4,3,1,2,2,4,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1, ,3,1,1,1, ,3,1,1,2,3,2,3,2,2,1,1,1,1,1,2,2,5,2, ,2,8,1,1,3,1,1,2,6,1,3,2,1,2,2,2,4,2,3,3,0.24845763604226434,0.2782797039725963,0.24720004537675003,0.2579389679982466
188245,2020-6-17 10:40:24.000,2020-6-17 11:3:27.000,1,1,1,2,2,1,1,2,2,1,2,1,2, , ,1,3,4,1,1,1,1,1,2,1,1,1,1,1,1, ,2, ,2, ,5,2,4,4,4,4,4,4,2,1,1,2,2,1,1,1,1,1,1,2,2, , , ,1,1,1,2,1,1,1,3,1,3,3,4,4,4,4,4,4,2,1,2,1,2,1, ,2,4,4,4,3,1,2,2,3,3,1,2,1,1,1,1,2,2,2,2,4,4,4,1, ,2,1,3,3, ,2,1,3,5,4,2,3,2,2,1,1,1,1,5,2,2,2,2, ,2,3,3,1,3,1,2,2,6,1,3,2,1,2,1,2,4,2,3,1,0.6782599065498637,0.6634223932595105,0.6713435178838454,0.6930880998161475
188340,2020-6-18 11:12:2.000,2020-6-18 11:24:51.000,1,1,2,1,2,2,3,2,2,1,2,1,1, ,2, ,3,3,1,2,1,1,2,4,3,2,2,3,3,1, ,2, ,2, ,3,4,2,3,2,3,2,3,3,2,4,2,3,3,1,2,1,1, , , ,1,2,2,1,1,1,2,3,1,2,2,1,2,2,3,3,3,3,2,2,3,3,2,3,3,2,2, ,2,2,3,2,1,2,2,3,3,1,1,2,1,2,2, , , , , , , , ,2,3,1,1, ,2,2,1,3,5,4,1,1,6,2,1,1,1,1,1,1,2,5,1, ,1,9,1,1,2,2,1,3,6,1,1,1,2,1,2, ,2, ,3,3,0.23180763959397108,0.2980655664335535,0.2762847416187197,0.23662327118511584
189053,2020-6-17 14:40:24.000,2020-6-17 14:58:52.000,1,1,1,2,1,1,1,1,1,1,2,1,1, ,1, ,1,2,1,2,2,1,2,99,2,1,2,2,2,1, ,2, ,1,2,2,5,2,1,1,2,1,2,4,4,4,3,4,4,1,2,1,1,1,1,2, , , ,1,2,2,99,2,2,2,3,1,4,4,2,2,2,1,1,99,3,3,2,3,4,99, ,1,2,2,2,99,2,2,99,3,1,2,99,4,2,1,1,2,2,2,2,4,99,4,2, ,2,1,2,3, ,3,1,2,4,4,2,3,2,2,1,1,1,1,5,1,1,2,1, ,1,2,3,1,2,1,1,1,6,1,1,1,1,1,1, ,1, ,1,5,0.4434587667672947,0.46522277496105946,0.47971691819181167,0.43258041799758695
189323,2020-6-17 14:31:19.000,2020-6-17 14:54:4.000,3,1,1,1,1,1,3,2,2,1,1,3,1, ,1, ,1,2,1,3,2,1,1,2,2,2,2,3,1,1, ,2, ,2, ,1,5,2,1,1,2,2,3,3,3,4,4,3,3,2,1,1,1,1,1,2, , , ,1,2,1,2,2,2,1,3,1,2,1,1,2,2,1,2,1,3,3,3,4,3,3, ,1,4,4,3,4,1,2,1,3,1,2,2,1,1,2,2, , , , , , , ,4, ,3,1,3,1, ,3,1,3,7,3,1,3,1,2,1,1,1,1,1,1,1,5,1, ,1,7,1,1,2,2,1,2,6,1,1,1,1,1,1,3,1,97,2,5,0.7872049780817378,0.77216408505912,0.8271519046902679,0.8915127415931537
189589,2020-6-17 10:22:41.000,2020-6-17 16:20:33.000,2,1,2,2,2,1,2,1,1,2,2,1,2, , ,1,2,4,1,1,1,1,2,2,1,3,1,1,2,1, ,2, ,2, ,5,2,4,4,4,4,4,4,1,1,2,1,2,1,2,2,1,1, , , ,2,2,2,2,1,1,1,1,1,1,1,1,3,3,4,4,4,4,3,4,1,2,2,1,2,1,1, ,3,3,3,2,2,2,2,3,1,1,2,1,1,2,2, , , , , , , , ,1,1,1,3, ,2,1,1,2,3,3,1,1,5,2,1,1,1,1,1,9, ,6,2, ,2,9,1,1,3,1,2,3,6,1,3,2,1,2,1,3,4,30,3,1,0.3839937157938412,0.3760005898661725,0.36682889771691823,0.40180613720235037
190780,2020-6-16 12:4:16.000,2020-6-16 12:35:55.000,2,1,2,2,2,1,2,1,1,2,2,1,2, , ,1,2,3,2,1,1,1,1,1,1,1,2,1,1,1, ,2, ,2, ,5,1,4,4,4,4,4,4,1,1,1,1,1,1,2,1,3,2, , , ,1,2,2,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4,4,4,1,1,1,1,1,1,1, ,3,3,3,2,1,2,2,3,1,1,1,1,1,99,1,2,2,2,2,2,2,2, ,1,2,2,3, ,3,3,2,2,3,3,2,2,3,2,5,4,1,1,5,2,2,5,2, ,2,5,2,1,4,1,2,2,6,1,4,2,1,2,1,1,4,22,1,3,0.4688284824872432,0.38524542668677364,0.3842899802804335,0.49058602640307514
